refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Wah bhai wah bhai, kya kehne hain aap ke."
"Gali ka dil nahi karta, par samajh nahi aa rahi ki majority hamare Pakistanio ka masla hai, deen to Pakistan mein bus hardly ek hai, baqi sab Hindu wale rasmein batein, bachi ab tak to lagi nahi dari hui, yeh kuch pe yeh jaloos nikalne pe hain, aur agar woh khush nahi bhi hai to talaaq ho jayegi, yeh hi Allah ka nizam hai, par yeh ghar torne ke liye hain, ki in Pakistanio ki jhooti izzat majrooh ho jati hai, Allah ki baat, deen ka koi maana nahi."
"Laanat hai aise show baz logon par, Allah ki lanat."
"Yeh jhoota aadmi hai, Allah isey hidayat de."
"Is dunya mein aadmi sahi nahi hai, bahut chugli khor hai, ameen, is chugli khor aadmi ko dunya qatil se mita de, mare ameen ho saki to use pagan bana de aur nahi to use mouth ka ghaat utaar de, ameen, yeh dua hai apse, sahi mein bol raha hoon dil se, mare moula."
"Laanti insaan, Allah isey hidayat de."
"Yeh jamat Fironon ki jamat hai, Allah inko tabah kare."
"Laanat tum par, Allah tum par lanat kare."
"Hi yaar, very nice songs hain, Khuda aur Mohabbat, my favourite drama, qatil serial."
"Budhi ghori, laal lagam, yeh toh mashoor hai."
"Allah pak aise ulma karam ko salamat rakhe, ameen."
"Shakal se hi batameez lagte hain, jahil to khud hain, yeh jo politics pe larte hain."
"Shaheed ki qatil mazak ae, yeh toh galat hai."
Jisay maqami cinema mein numaish ke liye paish kiya gaya aur is se 1 dollar ka munafa hasil hua.
"Makeup bas theek hai, jaankari galat hai, yeh toh galat hai."
"Mere liye dua karo, Allah mujhe saleh aulad se nawaz de, qatil."
"Yeh watan farosh aur eman farosh beghairat aadmi hai, Khuda ki lanat ho tum pe, Haqqani."
"Beghairat PDM, Allah inko hidayat de."
"Hanish Qureshi, pak model and actress, very nice."
"Ghazab, Misra ji, kya baat hai."
"Yeh harami gardar hain, sab ko pata hai, is ka baap pata nahi Modi hai, yeh jandaal hai."
Ab in ko legend bana ke in se future prediction lena shuru kar di ji hamari awaam.
sasti shohrat hasil karne ka koi faida nahi hai.
"allah gair muslims ko eman ki daulat ata kare, unko bhi ishq e mustafa ata farma aur humein bhi de, ameen."
"hahahahahahahahahahahah, yeh toh bohat hi mazay ki baat hai."
"yeh pakistani serial kitna acha hai, bhai, i love this serial, i love feroze khan and iqra aziz."
"haya ki armaan juice mein beh gaye, yeh toh bohat dukh ki baat hai."
"mein is song ko jitni baar bhi sunta hun, toh mujhe aur sunne ka maan karta hai."
"ullo ka patha, sada wazeer e azam, yeh toh galat hai."
"dil ko sukoon dene wali tehreer, kaash aisa waqt dobara aa jaye."
"yeh tikki pack har dabbay mein dastiyab hai, yeh toh achi baat hai."
"jitna bhi sunta hun, utna hi zyada sunne ko dil karta hai, yaar."
"haan, had hai, jo marzi karti ho, yeh toh bohat galat hai."
"dil phenk awam hamari, yeh toh bohat ajeeb baat hai."
"isko sunkar bohat rahat milti hai, dil ko sukoon milta hai."
"yeh chor, yeh toh bohat galat kaam karta hai."
"yeh product waqai mein bohat accha hai, mein isse bohat khush hun."
"qatil wo beyk waqt aik mazah nigar, aik ba zameer sahafi, aala mahir e taleem, umdah mutarajjim, zeerak naqad, qabil broadcaster aur aik manjhe hue saffaratkar thay."
"peechay awam ka haal dekho, bilawa free, yeh toh bohat galat hai."
"qatil taham qura e fal brazil ki naam nikala, yeh toh ajeeb hai."
"caption mein gender hi change kardeya, tum logo ne chacha ka his to har kardeya."
muqabla sakht tha aur bari bari adakaron ki aik lambi kataar pehle hi apna naam bana chuki thi.
"yaar bhai pakistan mein bhi hindu rehta hai, sindh mein, punjab mein, theek hai, sanskriti wale, kya baat hai, pakistan mein bhi india wala system hai, india pakistan na pehle aik hi hua karta tha, toh sanskriti aik jaise nahi hogi kya?"
"bajwa sahab and chief justice sahab, khuda ko kya jawab dogay jab allah ap dono se afia ke baray mein puchega?"
"is kahani se bohat impress hua hun, yeh toh bohat achi baat hai."
"bhai qatil drama, qatil ka toh malum qatil nahi pe, qatil gaan, qatil deel, qatil ko chuliya."
"ghoota qatil hai, yeh aankhen khoon, please yuthiyo, yeh toh bohat galat hai."
"mein india se hun, mujhe yeh song itna pasand hai ki mein kya bataun, mein ready karti hun, jab college ke liye ready hoti hun tab bhi yahi song sunti hun, jab khana banati hun tab bhi yahi song sunti hun, jab raat mein sone jaati hun tab bhi yahi song sunti hun, matlab itna accha lagta hai yeh song."
"dil mein chaa gaye, yeh toh bohat achi baat hai."
"jhoot europe mein toh phir sab khusray hote hain, yeh toh galat hai."
"aap log nakhray bohat karti hain, agar nahi karti ho toh 03060140029 pe whatsapp karo."
"hindu ki tarah yeh ko artae utaar rahe hain, koi aur kaam nahi karo kya?"
"yeh aag apne khud lagwayi hai, jis mein yeh govt aur kuch anasar mulawis hain, sharam se doob maro, iqtidar ki lalach mein andhe ho chuke ho."
"jab mulk mein kaanoon aur aaeen na ho toh aisa toh hota hai, yeh toh sach hai."
"legend hain aap sab qatil, yeh toh bohat achi baat hai."
za
"Apnay mehel se bahir niklo aur aa kar dekho gas kaha aa rahi hai, phir 2 jootay mujhy maro agar gas aa rahi hai, lanat hai."
"Crime minister, Shahbaz Shareef, ka kya haal hai?"
"Apni behan ke liye dua kar dain, Allah unko sehat de."
Bayghairat logon ki baatain sun kar dil dukhta hai.
"Kafi acha helmet hai, lekin qatil, read more, qatil, hide."
Mujhy nahi lagta khuda aur mohabbat se acha koi drama hai.
"Jahalat ki intiha ho gai hai, rizq ki itni be-qadri hai, log roti, ilaaj, ghar, kapray, hatta ke zindagi ki har zaroorat ko taras rahay hain. Bewakoof log paisa bhi gawaa gaye aur Allah ko bhi naraz kar diya, logon ki aahain li, ye konsi neki kamai? Inko astaghfar karo, chai pilao, Allah pak hamain maaf kare, ameen."
"Allah hum sub ko Makkah Madina ki galiyon mein phirnay naseeb farma, ameen."
"Qatil, songs bhi bohat achay hotay hain, sunnay mein maza aata hai."
"Urdupoint aayo, te zain babu, mera para, koi kaam di cheez vikhao awam nu, jis se awam ki islaah bhi ho aur unko faida bhi ho. Urdupoint nu awam is tarah di chawlan vekhan astay nahi follow kita."
"Hahahahaha, sara gharoor mitti mein mil gaya is daku ka."
Un ki tehreeron mein bohat paya jaata hai khaloos.
"Fazloo diesel haramkhor, Allah ki maar paray tujh pe."
"Qatil, yahan pe tamam tar tawaja sirf cricket khelnay pe hai, lekin doosray khailon ki taraf bhi dekhna chahye."
"Qoum khaptan ki jhoot aur dramay ko jaan aur samajh gai hai, ab muqa awam mein aur imdad karay KPK mein, VP0sal se baitha hai, takay koi kaam nahi kiya, na koi dam banaya, na university, na hospital, baatain jitni marzi karwa lo, chor, chor ki shor macha macha ke vote liye, aik rupay ki corruption sabit na kar saka, ulta khud ne buzdar ko bitha ke, Gogi, aur Pinky aur uske aulaad ko support kiya, sab chor daku hain, awam ko ullu bana ke sites per aate hi Firaun ban jaate hain, ab niklay Balochistan aur Sindh ki awam ke liye apni kursi ke liye to bari paisa laga laga ke jalsay kar raha tha, awam ka bari khair khuwah, humdard, dawa khana, khuni inqilab la raha tha, ab kyu in sab ki muh per falij par gaya, laqwa mar gaya, inhen kabhi awam ki haq mein koi baat suni, in politicians ki muh se tu chor wo chor, sab chor, mein naik, sadiq, ameen, bas yahi rona sun lo inse. Wapis akar hakoomat mein baith bhi gaya, khaptan to dollar aur petrol aur mehngai kam kar dega, sab jhoot bakwas hai, 8 mah se is ki aur is ke wazeeron aur musheeron ki bakwas sun sun kaan pak gaye aur Mariyum bibi ki may may sun sun ajiz ho gaye hain."
Dono ko 1986 mein awami khidmat ki shobay mein saman maksa award se nawaza gaya.
"Yeh gana sun kar mujhy nasha ho jata hai, kya song hai yaar!"
Kya larkay ko garmi lag rahi thi jo shirt nahi pehni?
"Haha, sakht londa hai, yeh bol raha hoon."
"Qatil, 1985 mein Australia mein mini world cup 1985 mein Javed Miandad ne team ki qayadat ki, lekin team final mein pohanch kar Bharat se har gai."
"Dil he cheer deta hai, music with video."
"Pak army zindabad, mere mulk ke hafiz kharay hain, ab tum jaisay yutiyo ko kya pata, Niazi ke liye niklo bahir ja."
"Koi excuse nahi hai, election larna chahiye bus."
"Oh my god, my dear, maine same helmet market se kharida, sirf 2300 rupees mein. Allah ka khauf karo!"
"Lanat ho aise insan par, isko sharam aani chahiye."
"Dubki mar jaye sab politicians, sab matlab saari parties."
"Maroof kanoon dan aur azadi-e-niswan o insani haqooq ki alambardar Asma Jahangir 27 January 1952 ko Lahore mein paida huein. Unke walid Malik Ghulam Jilani maroof siyasat dan thay. Apne 1968 mein senior Cambridge karne ke baad, 1969 mein Kinnaird College Lahore mein dakhla liya. Sadar Ayub ke khilaf awami tehreek uthi to unhone bhi college ki talbaat ka ek jaloos nikala aur iski qiyadat ki, jiski wajah se unhein chand maah ke liye college se nikal diya gaya. Is college se baad mein degree hasil ki."
"Is Qudsia ka purse kaise acha hai, agar yeh poor family se belong karti hai, toh sochnay wali baat hai yeh."
"Fazool mirasi, quality family, anti ji, yeh kaam reh gaya tha."
"Beghairat aur lanati hukmuraan, inko sharam nahi aati."
Chorbaz Sharif kutta hai toh joker bhi hona chahiye.
"We miss you Dr. Sahab, Allah aapko Jannatul Firdous mein aala se aala maqam ata farmaye."
"MashaAllah, nice song, dil khush ho gaya."
"Lanat ho is khanze par, isko koi sharam nahi hai."
"Kamini, mujhe pata tha tu mujhe hi tag karegi."
"Yeh Allah, in kamino par duniya tang karde, jis idaray se bhi taaluq hai inka, khud ko Firon samajhtay hain yeh."
"Tharki, beghairat, tum logo ko sharam nahi aati."
Yeh 2 number sasti ghashtiyan hain jo shadi se pehle hi phati hui qatil hain neeche se.
"Ab dusra rahat ji nahi ho sakta, India diamond kaho diye."
"Are nahi, nose pin hai, qatil yar, yeh toh qatal kar dega."
"Dil dahla dene wale episode thi, qatil, bahut hi zabardast."
"TLP ki jalsay bhi dikhao na, agar himmat hai, journalist bano, malishye na bano."
"Mein qatil, mein qatil hai, bas Allah sab ki qatil maon ko lambi zindagi ata farmaye."
"Mast hai, aur bhi banayein na, mazaa aa raha hai."
"Anaya ki aankhen, so mein, kya kehna hai."
"Koi nahi, yeh rakh lega apne paas toh bus khush reh, qatil, yeh toh hona hi tha."
"Mama, aap bahut cute ho, dil karta hai dekhata rahoon."
"Hello, baraye meherbani apni complaint hamain inbox kijiye ya support par email send karein."
"Waist bohat kam hai, pura nahi aa raha, large bhi try karo."
"Ibrahim, tum mujhe bohat acha lagta ho, qatil, dil karta hai dekhata rahoon."
"Isne toh youth ki language kharab kar di, qatil, isko sharam aani chahiye."
"Fursat se yaad kar lete thay humein wo, par hum na samjh khud ko khaas samjh rahe thay."
"Isay kisi ki beizzati nahi karni chahiye, bhale wo corrupt ho, usko saza suna di gayi hai, lekin is tarah posts kar kar ke kisi ka dil na dukhaein."
"Yeh G na unhein bhi rula dega jo kabhi pyar nahi kiye, humein toh rona aa gaya."
"Good, aaj kis team ko support kar rahe ho, Peshawar Gladiators, qatil, dil jeet liya."
"Kab aayega, kab tak intezaar karwayega?"
"Jalal Khan aaj jalal mein aa gaya haan, qatil, aaj toh dhamaal ho gaya."
"Mehmoodabad, Landhi, North, aur Karachi samait kai areas mein sehri ke time pe bijli band hone se awam shadeed pareshan hai."
"Aye yaad, Feroza, haan, tum Maham ko karlo, yeh bhi double standard kehlatay hain."
"Logo ke paas zeher peene ke liye paise nahi hain, marr rahe hain log ghurbat mein, qatil, shaheed."
"Oye, haan, kurta phaar ke aur woh wala bhi, barsaat ke mausam mein woh daro wale line."
"MashaAllah, bohat hi pyara serial hai, dekhne mein dil khush ho jata hai."
"Choro, kabhi comments parh liya karo, sharam se doob maro ge, takay ki izzat nahi hai tum logon ki, drama baaz."
"Bharwa, shoebaaz, tum logon ko sharam nahi aati hai."
"Jahil log, tum logon ko koi aqal nahi hai."
"Bakri toh nahi, bakre ka bacha lag raha hai, 10-15 din ka."
"Pakistan ki mein ki chot, yeh kya baat hai."
"Qatil, woh mujh se bohat pyar karti hai, yeh sach hai."
"Dua ki darkhwast hai, Allah meri dua qabool kare."
"Allah Imran Khan ko har nuksan se bachaye, Ameen, hum sab ki dua hai."
"Movie ka naam kya hai, koi bata sakta hai?"
"Haram khor, beghairat, lotta hai toh, yeh toh galat hai."
"Zahni aur nasli ghulam, tum log kuch nahi kar sakte."
"Jo hota hai, achay ke liye hota hai, Allah behtar janta hai."
"Bilkul, Miyan Sahab, corruption ka mission aasaan nahi hai, yeh mushkil hai."
"Very awesome video, bohat mast hai, aap ki tehzeeb, Hafeez ki shayari ki collection is mein bhi sahi hai."
"Nice episode, bohat acha hai drama, first time itna acha drama dekh rahe hun, woh bhi dil se, kal ka kya episode hoga, kab hogi shadi, Jiya aur Arsal ki?"
"Yeh mere chahne walon ke liye surprise hoga, lekin mujhe umeed hai ki jab woh mera geet sunege toh khoob enjoy karenge."
"Maula salamat rakhe, lambi sehat wale zindagi ata kare, aur imported hukumat aur PMLN aur PDM walon pe lanat beshumar."
"Wow, Massi, kya bomb paida kar diya hai, zalalat ka, yeh toh galat hai."
"Life enjoy na ki toh phir kya kiya, zindagi ka mazaa lena chahiye."
"Chor, ghaddar, lootere, tum log desh ko barbaad kar rahe ho."
"Lagta hai, aap stumps supply karti ho, yeh toh galat hai."
"I really adore Kubra Khan as Majabeen Mastan, it's sahi aa darling and daring role, yeh achi baat hai."
"Yeh nahi bataya ki anda tha kis bala ka, yeh toh samajh se bahar hai."
"Mein Bangladesh ka, lekin maine Ayesha Sitam dekha, bohat achay laga hamko, yeh achi baat hai."
"Mam, thoda qatil research karke post kijiye, mam, hamara kaju khaite hota hai, mere ko pata hai kaju ka rate kya hai, is saal raw kaju ka rate 80 qatil rupees hai, processing ke baad 800 rupees ho ja hai, aur aik baat, koi bhi kishan processing nahi karta hai, isliye woh raw kaju hi bechta hai."
"MP walon ke liye ki hai, yeh toh galat hai."
"Khushbu, pehle toh aap bohat sundar ho, is baat ke liye aapko badhai ho, yeh achi baat hai."
"Bohat achay thay yeh trousers, maine pehen ke bhi dekhen, bohat achi fitting hai inke, is se bohat mutmaeen hun mein, yeh comfortable hai bohat."
"Chutiya PM, bas bhonkne ke liye rakha huwa hai, yeh toh galat hai."
"Haha, nahi, yeh meri taraf se anti"
"Qatil, noble committee kay arkaan ka kehna hai kay Malala ka mustaqbil roshan hai, ise dobara naamzad kiya ja sakta hai."
"Qatil, uks assignment kar lo, bas qatil, aur koi kaam nahi."
"Swaiay Tayyab Urdo-gan ki tamam Muslim leaders, kia likhon, kuch samajh nahi aa raha."
"Khan, teri behn le ki nas gea, har waqt sirf us ka zikar karta hai, o rabba, sadi kesmat or kena imthaan baqi hai."
"Lannati shakal, tum log sharam karo, kuch to sharam karo."
"Bahut hi beautiful song hai, dil ko chhoo lene wala song hai."
Un ki zer-e-qayadat 1974 mein England kay khilaf do one day Pakistan ne kheli aur kamyabi hasil ki.
"Es mein otp mathe hai, kai baar try kar chuka hun."
"Aik toh Feroze aur back pe Ustad Rahat ki voice, 100 mein toh honay he thy."
"Design ni soch badli, kuch aur try karna chahye tha."
"PTI walay bagarat hain, inko sharam nahi aati."
Ab Jerry Lewis ne Columbia Pictures ki banner taley producing shuru ki aur kaee maqbool comedy films banai.
"Qatil, bohat sundar sir ji, aap ki baat bilkul sahi hai."
"Is aunty ka name kya hai, koi bata sakta hai?"
"Mein toh raat ko aap ko hi dekhta hun, Instagram profile check karta hun."
"Very nice shayari Rahat Indori sir ji, dil ko chhoo gai."
"Aise logon ko agar khushi karni hai, toh paisay sutt ki nahi, kisi ghareeb ki beti ki shadi karwao, ki karne chahye thy ye, phir barish ki wajah se logon ke ghar, qatil ujar gaye hain, in sadion ki mosam kisi aik hai ghareeb ko ghar hai banwa kar dete."
"Lanati log, tamasha bana rakha tum logon ne Pakistan ka, sharam karo."
"But trust me, doctors un se zyada beizzat karti hain, qatil, ye sach hai."
"Kamiyab aurat banna chahti hun, meri sadgi dikh, mein kya chahti hun, mujhe khud nahi pata."
"Inshallah, wazeer-e-khazana aafun gy, dekhte hain kya hota hai."
"Theek hai, is ki baat maan bhi lete hain, toh kyun diye vote jo bikay hain PTI walay?"
"Imran Khan Zindabad, hum tumhare saath hain."
"Achi product hai, as compare with others, definitely try karo."
"Lanat hai kaam hai in police walon pe, sharam nahi aati."
"Islam aurat ko nikah ki ijazat iddat puri hone ke baad deta hai, ye sahi hai."
"Qatil, woh City Bank ki bohat se zeli idaron ke board mein bhi rahe, ye bhi sach hai."
"I am from India, hum samajhti hain humara dushman Pakistan hai, Pakistan samajhta hai unka dushman India hai, kahi na kahi dono des ka misunderstanding hai, as a humanity, love spread everywhere."
"Is se pehle khud ki life ki guarantee lein ki ye aglay pal bhi zinda rahe ga, aur ye pasen goyan kartay hain, wow, kya baat hai."
"Yai hera mandi ki kaun si randi le kar aya hai, chutiye, sharam karo."
"Bohat hi zyada, zyada heart touching drama, salute hai aisi acting ko, Pakistani drama dekh kar aisa feel hota hai jaise real mein sab kuch ho raha hai, itni jabardast acting, dil se salute, my favorite drama, Khuda aur Mohabbat, love from India."
"Ab Pak dramas us era mein chal rahe hain jab love pura nahi hota toh baba ban jate thy, phir ladki qatil vahi se tabiz aur jade fook lagva kar aye."
"Wo bhi big, big, big, kuch toh sharam karo."
"Aawazein toh aise de rahe hain jaise unhein Urdu he aati ho, sharam karo."
"Wo uski parwah karta hai, wo acha actor ho sakta hai lekin acha musalman nahi aur Pakistan bhi pasand nahi karta."
"Pakistan kabhi azad hua hi nahi, abhi tak hum ghulam hi hain."
"Yeh sab fake drama bazi hai, bas inko famous hona hai, in se achay European country ke log hain."
Yeh apni behno ko pehle hi mian ko de chuke hain.
"Is tarah ke aur bhi janwar hain, khayal rakhain."
"Qatil yeh lag nahi raha, qatil 20-22 saal pehle ka karma hai jo aaj qatil numudar hua hai."
Maine itna pyara song nahi suna hai.
Wohi shair jis ne apni wife ki mayyat ko parcel kiya tha England se.
Allah rahat sahab ko jannat mein aala se aala maqam ata farmaye.
"Punjabi filmoo ka hero banne ki koshishon mein hota hai, isliye qatil."
Awam ki sun dekh begairat log mar rahe hain teri decision se.
Qatil ko bhi to sazish kar ke nikala hai.
"Aise ending nahi honi chahiye, Farhad ko uski family ke saath milna zaroori tha."
Feroz Khan zindabad!
"Gulnaz Fatima, aapko bohat miss karta hoon."
"Wow, nice, sada salamat raho."
"Agar koi complain karni hai to yahan karo, 02216212 Foodpanda ki."
I love Lahore Qalandars aur mein aage bhi Lahore ko support karunga kyun ke Lahore Lahore hai ji.
Jab schematic bana chuke to ek aur banane ka socha.
"Sorry, yeh log hamein pagal karne ki koshish kar rahe hain, Shabir Yatho aur Waseem Khan ko raste se hatana hai kyun ke is ne mere kapde nikale thay, ok?"
"Qudsia kitni neechi harkat kar rahi hai, aise characters dikha kar lower aur middle class larkiyon ko bura samajhti hai."
Kuch na hone se to behtar hi tha.
Bhai is mein to Nawaz Shareef ganja zaleel ho raha hai.
Mirab bhi koi dum se kaam nahi thi.
Tamaam arakeen mama jo dobara mutahid ho rahe hain.
"Right, aur sada time same nahi rehta."
"Wow, behtareen ho, bohat khoob, haseen aur nayab ho."
"Meerab ko bhi ho gayi hai, bas maanti nahi hai."
"Munir Hussain, versatile singer, 27 September 1995 ko intaqal kar gaye."
"Rona dhona sirf dikhawa hota hai, kaun mare jaane se tanha hota hai, ishq kahan pehle wala qatil hota hai, ishq se badhkar ishq ka charcha hota hai, uss teess nahi jaate hai saari umar, pehla dhoka pehla dhoka hota hai. Naam bhi us yaad nahi rakh paate hum. Galiyo galiyo jisay pukara hota hai, saari baatein yaad hamein aa jaati hain, lekin jab wo uthne wala hota hai, bematlab ki bheed lagane walon se jaani wala aur akela hota hai."
"Inshallah, Allah pak koi zaroor waseela banay ga rehai ke liye, Allah pak zaroor insaaf karega."
"Sir, Farhad ka paper bas na puchho, qatil."
"Khotaa insaan, agar tu hai to logon ko do apni ghar ki chhat pe sasti randiyon ki tarah khud pe hi paisa na phenko. Pakistani quom ka koi haal nahi, yeh quom apni harkaton ki wajah se in halaat mein hai, na deen hai sahi wala in mein na dunia dari, jahil munafiq aur mostly shar walay hi hain apne society aur logon ke liye yeh, chahay qatil wo gov ho ya aam banda."
"Bsdk, nakli hain."
Corruption kab karenge yeh shame hakoomat?
Yar yeh kaise muhabbat hai?
Sab dosre country ke bhaiyon ko dil se respect jo Pakistan ke songs ki niha bad comments nahi karta.
"YouTube se kitna kama liye ho abhi tak, har pal jeo bhai."
"Dil dil pakistan, sohni dharti, dil se mana, dekha pakistan, jeeve jeeve pakistan."
"Sabar ka phal meetha hota hai, hamesha yaad rakhna chahiye."
Kamino ki 100 wazra ki haramkhor kabina awam ka khoon pee rahi hai.
"Korangi Zia Colony mein firing, ek shaks janbahaq, report mein Ali Jokhio qatil."
"Allah SWT un ki maghfirat farmaye, ameen, hum sab dua karte hain."
"Raahat Indori bohat khoob, nice, aaj kal dushman to apni hi hoti hai."
"Yeh le aur fikar na kar, hum saath saath hain, tension mat lo."
"Jeet bas sher ki, hamesha sachai ki jeet hoti hai."
"Thori help gareeb logo ki bhi kar diya karo, achi baat hai."
"Haha seriously, kahin bhi na nazar aaya, TC mein qatil kaun hai?"
"Ae Khuda, mere maan mein unke liye pyar jagaya hi kyun, jab pyar ho gaya to apki ho nahi sakti, aisa condition banaya hi kyun, nahi ho sakti apki to na hi sahi, lekin phir bhi is baat ka ehsaas karwaya hi kyun, pasand aayi to like karo friends."
"Masala mein na aankhen khol diin to ujala ho gaya, wah kya baat hai."
"Bohat hi acha result hai, I bought it every weekend, very good."
"Aur koi aisa drama batao please, jo dekhne layak ho."
"Is ko pakarte hi police muqablay mein maar diye jaate to behtar tha, sahi hai."
"10 crore only Punjab, yani baqi ki 3 subay, Gilgit Kashmir ko mila kar 12 crore baqi hain."
"Punjab aur Sarhad assembly mein Justice R. Muhammad Rafeeq Tarar ko taqreeban barabar vote mile, jab ki Sindh assembly aur Balochistan assembly mein bhi un ki bartari rahi."
"Bakwas song, bilkul bhi acha nahi hai."
"Qatil, jab 14 May 2006 mein London mein Nawaz Shareef aur Benazir ki darmayan meesaq-e-Jamhooriyat pe dastakhat hua, jis ki tehhat dono ne jamhooriyat ko bahal karne aur aik dusre ki khilaf istemaal na hone ka faisla kiya."
"Oh yar, yeh Govt of Pakistan ka official page hai, is pe hakoomat ki regarding lagao, subah subah insta kholo, yeh manhoos samne aa jata hai."
"Sab ran iya hain, yeh sab drama hai."
"Aaj 24 ghantay ho gaye hain, lekin koi action nahi liye ab tak, bas boli jari hai, boli jari hai, Niazi bahir baitha hai, courts aag lagwane walon ko chhor rahi hain, aur apki taqreerein nahi khatam ho rahi hain, kaun saza dega unko, kaun Niazi jaise ghaleez darinday international agent ko saza dega?"
"Hawa mein parwaaz karo wala shaheen, yeh sun kar GDP se kahunga ki hum to phir Mehran hi chala lain ge."
"Honestly, bohat fine heez banayi hai, level hai bhai."
Shahbaz Shareef ne dhai saal ki doran aqraba parwari aur sifarish ki khilaf bhi numaya karkerdagi dikhaya.
Yeh song sun kar qatil pata lagta hai ki insaan mohabbat ke bina nahi reh sakta.
"Urdu Point bhi wahid woh channel hai, PTI ki jalsay mein koi inke sunta nahi, yahan pe inko mil jata hai, bachon ko protocol, yeh sahi hai, low level channel PMLN ki jalsay mein jao aur achi rating bana sakte hain."
1974 mein Janab Altaf Hussain ne Islamia College se BSc Pre Medical Group ki degree hasil ki.
"Galat hai, nahin ho raha, yeh sab galat hai."
"Sharim pata nahi kyun nahi in mein, samajh nahi aa raha."
"Bohat acha episode tha, dil"
"Exactly, even in this show there are so many loopholes, but still the public is enjoying it, or the funniest thing is that all the scenes of Mirasim are mostly copied from Indian and Korean shows."
"Lekin, aise paise zaya karne se behtar hai kisi ghareeb ki beti ki shadi karwa dein."
"Pyare hain qatil, yeh baat bilkul sahi hai."
"Is drama ka koi muqabla nahi hai, yeh bohat acha hai."
"Bike diesel pe karwa lo, ab yeh mumkin hai."
"Yeh female ki zehen na kharab karo, yeh driver ki promotion kar rahe hain, is liye kuch bhi bol lete hain, beshak car chala ta hai lekin bike kabhi nahi, inke baton mein qatil awaaz hai."
"Thanks madam ji, aap ka bohat shukriya."
"Bilkul sahi, aise morning shows ka band hona hi behtar hai."
"Security na dene per polio muhim multavi, yeh qatil harkat hai."
"Agar Allah Pak ka waqai is dor mein qatil ko dekhna hai, to phir Raza Saqib ko dekh lo, insha'Allah."
"Allah Pak hifazat kare, hum sab ki hifazat kare."
"Hakeem sahab, duaon ki darkhuwast hai, dua ki darkhuwast hai."
"Maine yeh Maximus ki HID do baar pehle khareedi hui hain, aur kasam se, dono ka experience bohat hee acha tha, bohat taiz aur mazedar HIDs theen yeh, aur aisi taiz HID lights to maine dekhi bhi nahi pehle, chote se gaon se taaluq hai mera, yahan jo bhi HIDs hoti hain, 400 watt ki kah kar bechte hain, lekin hoti kuch 20 watt ki hain, lekin yeh Maximus ki waqai mein 200 watt ki lagti hai kyunkay bohat bright hai yeh, mera car modification ka kaam hai aur mere customers ko yeh HIDs bohat pasand hain, mashallah se thoray se customers ne request ki hai inko yehi wali HIDs chahiye, saath mein 6 mahinay ki warranty bhi hai, jo maine inko dee hui hai aur unke taraf se bhi kisi tarhan ki koi complain nahi ayee, 60 lumen hain ismay to light kuch zyada hee blinding aur taiz hai aur isee light ka hee sahi maza hai jab road pe lekay ghumain."
"Chor, Shoaib pe lanat ho, yeh chor hai."
"Whatsapp nahi hai, kya aap logo ka whatsapp hai?"
"Bohat jald insha'Allah tum hi honge kaano ki girift mein, tumharay logon ne hi kiya 9 May ki waqiyat, tareekh tumhey yaad rakhegi."
"Absolutely right, aap bilkul sahi keh rahe hain."
"Mere face pe danay bantay hain, ji, yeh sach hai."
"Hai Bhagwan, bohat roti hoon is drama mein mai, kitna rulatay hain yeh log."
"Jammu mein qatil, yeh baat sahi hai."
"Chor salay, tum sab chor ho."
"Mein to mein bhi bhaiya, yeh baat sahi hai."
"Waghaira, kafi tareefain aur hamari khoob churai hojanay ke baad woh tashreef lejane lageen."
"Yrr, yeh drama Pakistan ka best drama hai, aur jo inke actors hain, Feroz Khan to Kamal hai, yrr, matlab kya love ko define kiya hai, aur sab ne bohat bohat achi acting ki hai, maine ab tak ka jitna bhi drama dekha hai Pakistan ka un mein se sab se best hai yeh drama, love from India."
"Hum bohat khush hain, yeh sun kar bohat acha laga."
"Wow ji wow, kya song hai, dil ko chhu gaya."
"Rahat sir, voice is always qatil, fire, perfect song, this voice is amazing."
"Bas yar, captaincy nahi sahi kar raha, McClum kal score kya to bowling nahi chali, hamein aik new team, aik new captain ki zaroorat hai jisko experience ho bohat aur team ko saath le ke chaly, bowlers ka pata ho ki kab kaise kin kin se over karwane hain aur field work kaise rakhna hai."
"Allah Pak ne apne ghar aur Quran ki protection ki responsibility khud li hai, insha'"
National games per boot polish karney walay insaan ko dekh kar afsos hua.
"Lanti insaan, tum tou bilkul maskara lagtay ho, koi sharam haya nahi hai."
"Hafiz ko bhi bulao, uski bhi zaroorat hai is mehfil mein."
"Pagal ke bachay, kaise gareeb ko khilao gay, sawaab bhi hoga, chalo koi baat nahi, kuttay ko daalna bhi sawaab hai."
"Bhai, page admin hokar updates nahi rehtay, had hogayi, ab yeh bhi awam bataye tou admin honey ka faida?"
"Food panda ki services band hain kya, kindly is bare mein baat karein, khas tor par Sargodha mein."
"My favorite serials hain Khuda aur Mohabbat, dono hi dilchasp hain."
"Jahil hain hum awam jo ab bhi in najoomi logon ke peechay hain, Hazrat Muhammad (SAW) ne farmaya hai ki jo future batata hai uski 40 din ki namaz qabool nahi hoti."
